bird_id,species_name,image_path,source_url,source_title,width,height,file_size_mb,source,license,image_number,quality_score
10,Common Cuckoo,bird_images_wikimedia\bird_10_4_Common_Cuckoo.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f7/Cuco-canoro%2C_macho%2C_Common_Cuckoo%2C_male_%2852779448693%29.jpg,"File:Cuco-canoro, macho, Common Cuckoo, male (52779448693).jpg",1086,724,0.4294748306274414,Wikimedia Commons,Free Use (Wikimedia Commons),4,6
10,Common Cuckoo,bird_images_wikimedia\bird_10_5_Common_Cuckoo.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8e/Cuco-canoro%2C_macho%2C_Common_Cuckoo%2C_male_%2852852804522%29.jpg,"File:Cuco-canoro, macho, Common Cuckoo, male (52852804522).jpg",1062,740,0.1867818832397461,Wikimedia Commons,Free Use (Wikimedia Commons),5,6
11,Common House Martin,bird_images_wikimedia\bird_11_1_Common_House_Martin.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d5/Bird-life_-_a_guide_to_the_study_of_our_common_birds_%281901%29_%2814772310243%29.jpg,File:Bird-life - a guide to the study of our common birds (1901) (14772310243).jpg,1668,2180,0.9341831207275391,Wikimedia Commons,Free Use (Wikimedia Commons),1,4
11,Common House Martin,bird_images_wikimedia\bird_11_2_Common_House_Martin.jpg,https://upload.wikimedia.org/wikipedia/commons/6/69/Bird-life%3B_a_guide_to_the_study_of_our_common_birds_%281898%29_%2814569098819%29.jpg,File:Bird-life; a guide to the study of our common birds (1898) (14569098819).jpg,2706,4233,1.4993114471435547,Wikimedia Commons,Free Use (Wikimedia Commons),2,4
12,Common Linnet,bird_images_wikimedia\bird_12_1_Common_Linnet.jpg,https://upload.wikimedia.org/wikipedia/commons/5/50/Common_linnet_%28Linaria_cannabina_mediterranea%29_juvenile.jpg,File:Common linnet (Linaria cannabina mediterranea) juvenile.jpg,2033,2033,2.9026575088500977,Wikimedia Commons,Free Use (Wikimedia Commons),1,6
12,Common Linnet,bird_images_wikimedia\bird_12_2_Common_Linnet.jpg,https://upload.wikimedia.org/wikipedia/commons/b/bd/Common_linnet_%28Linaria_cannabina_mediterranea%29_female.jpg,File:Common linnet (Linaria cannabina mediterranea) female.jpg,2304,2304,2.3788070678710938,Wikimedia Commons,Free Use (Wikimedia Commons),2,6
12,Common Linnet,bird_images_wikimedia\bird_12_3_Common_Linnet.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3a/Common_linnet_2025_05_30.jpg,File:Common linnet 2025 05 30.jpg,4114,2743,3.1627445220947266,Wikimedia Commons,Free Use (Wikimedia Commons),3,6
12,Common Linnet,bird_images_wikimedia\bird_12_4_Common_Linnet.jpg,https://upload.wikimedia.org/wikipedia/commons/f/f6/Common_linnet%2C_female%2C_R%C5%BCuch%C3%B3w%2C_%C5%9Awi%C4%99tokrzyskie%2C_Poland%2C_20250420_0913_3970.jpg,"File:Common linnet, female, Rżuchów, Świętokrzyskie, Poland, 20250420 0913 3970.jpg",2754,1832,4.236413955688477,Wikimedia Commons,Free Use (Wikimedia Commons),4,6
12,Common Linnet,bird_images_wikimedia\bird_12_5_Common_Linnet.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5d/Bluth%C3%A4nfling_Paar_%28Common_linnet%29_%28Linaria_cannabina%29.jpg,File:Bluthänfling Paar (Common linnet) (Linaria cannabina).jpg,2015,1343,0.3241462707519531,Wikimedia Commons,Free Use (Wikimedia Commons),5,6
13,Common Moorhen,bird_images_wikimedia\bird_13_1_Common_Moorhen.jpg,https://upload.wikimedia.org/wikipedia/commons/e/ee/Common_moorhen_%28Gallinula_chloropus%29_France.jpg,File:Common moorhen (Gallinula chloropus) France.jpg,5182,3648,2.970761299133301,Wikimedia Commons,Free Use (Wikimedia Commons),1,6
13,Common Moorhen,bird_images_wikimedia\bird_13_2_Common_Moorhen.jpg,https://upload.wikimedia.org/wikipedia/commons/4/4d/Common_moorhen_%28Gallinula_chloropus%29.jpg,File:Common moorhen (Gallinula chloropus).jpg,5472,3648,3.0386924743652344,Wikimedia Commons,Free Use (Wikimedia Commons),2,6
13,Common Moorhen,bird_images_wikimedia\bird_13_3_Common_Moorhen.jpg,https://upload.wikimedia.org/wikipedia/commons/7/71/Common_moorhen_Gennevilliers.jpg,File:Common moorhen Gennevilliers.jpg,4864,3243,4.139983177185059,Wikimedia Commons,Free Use (Wikimedia Commons),3,6
13,Common Moorhen,bird_images_wikimedia\bird_13_4_Common_Moorhen.jpg,https://upload.wikimedia.org/wikipedia/commons/7/76/Common_Moorhen_2023_11_11_03.jpg,File:Common Moorhen 2023 11 11 03.jpg,6269,4179,18.56655788421631,Wikimedia Commons,Free Use (Wikimedia Commons),4,5
13,Common Moorhen,bird_images_wikimedia\bird_13_5_Common_Moorhen.jpg,https://upload.wikimedia.org/wikipedia/commons/6/64/Common_Moorhen_Enghien.jpg,File:Common Moorhen Enghien.jpg,5768,3845,12.983784675598145,Wikimedia Commons,Free Use (Wikimedia Commons),5,5
14,Common Nightingale,bird_images_wikimedia\bird_14_1_Common_Nightingale.jpg,https://upload.wikimedia.org/wikipedia/commons/b/bc/Common_nightingale_%28Luscinia_megarhynchos%29_2019.jpg,File:Common nightingale (Luscinia megarhynchos) 2019.jpg,5019,3321,2.2309465408325195,Wikimedia Commons,Free Use (Wikimedia Commons),1,6
14,Common Nightingale,bird_images_wikimedia\bird_14_2_Common_Nightingale.jpg,https://upload.wikimedia.org/wikipedia/commons/f/fd/Common_Nightingale%2C_Wroc%C5%82aw%2C_Poland_%2835171340072%29.jpg,"File:Common Nightingale, Wrocław, Poland (35171340072).jpg",1100,968,0.5342416763305664,Wikimedia Commons,Free Use (Wikimedia Commons),2,6
14,Common Nightingale,bird_images_wikimedia\bird_14_3_Common_Nightingale.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d3/Mali_slavuj_mu%C5%BEjak_%28Luscinia_megarhynchos%29_Common_Nightingale_male.jpg,File:Mali slavuj mužjak (Luscinia megarhynchos) Common Nightingale male.jpg,4608,3456,4.365387916564941,Wikimedia Commons,Free Use (Wikimedia Commons),3,6
14,Common Nightingale,bird_images_wikimedia\bird_14_4_Common_Nightingale.jpg,https://upload.wikimedia.org/wikipedia/commons/b/bb/Common_Nightingale%2C_Wroc%C5%82aw%2C_Poland_%2847854126852%29.jpg,"File:Common Nightingale, Wrocław, Poland (47854126852).jpg",1400,1343,0.6040792465209961,Wikimedia Commons,Free Use (Wikimedia Commons),4,6
14,Common Nightingale,bird_images_wikimedia\bird_14_5_Common_Nightingale.jpg,https://upload.wikimedia.org/wikipedia/commons/2/2a/Common_Nightingale%2C_Wroc%C5%82aw%2C_Poland_%2827029994862%29.jpg,"File:Common Nightingale, Wrocław, Poland (27029994862).jpg",1000,943,0.5946407318115234,Wikimedia Commons,Free Use (Wikimedia Commons),5,6
15,Common Pheasant,bird_images_wikimedia\bird_15_1_Common_Pheasant.jpg,https://upload.wikimedia.org/wikipedia/commons/6/6f/Common_pheasant_%28Phasianus_colchicus%29_male.jpg,File:Common pheasant (Phasianus colchicus) male.jpg,2584,1723,0.9064197540283203,Wikimedia Commons,Free Use (Wikimedia Commons),1,6
15,Common Pheasant,bird_images_wikimedia\bird_15_2_Common_Pheasant.jpg,https://upload.wikimedia.org/wikipedia/commons/3/34/Common_pheasant_%28Phasianus_colchicus%29_immature_male.jpg,File:Common pheasant (Phasianus colchicus) immature male.jpg,4998,3332,3.378392219543457,Wikimedia Commons,Free Use (Wikimedia Commons),2,6
15,Common Pheasant,bird_images_wikimedia\bird_15_3_Common_Pheasant.jpg,https://upload.wikimedia.org/wikipedia/commons/0/01/Common_Pheasant_-_Sarah_Stierch.jpg,File:Common Pheasant - Sarah Stierch.jpg,3159,2082,4.181850433349609,Wikimedia Commons,Free Use (Wikimedia Commons),3,6
15,Common Pheasant,bird_images_wikimedia\bird_15_4_Common_Pheasant.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c7/Common_pheasant_%28Phasianus_colchicus%29_hen.jpg,File:Common pheasant (Phasianus colchicus) hen.jpg,5295,3530,5.183354377746582,Wikimedia Commons,Free Use (Wikimedia Commons),4,5
15,Common Pheasant,bird_images_wikimedia\bird_15_5_Common_Pheasant.jpg,https://upload.wikimedia.org/wikipedia/commons/8/8c/Common_pheasant_%28Phasianus_colchicus%29_male_3.jpg,File:Common pheasant (Phasianus colchicus) male 3.jpg,4060,2707,10.83089828491211,Wikimedia Commons,Free Use (Wikimedia Commons),5,5
